*ref00000 09:58:09.32 +02:06:13.9
@ob02984 09:58:06.0064 +02:24:14.829 -2.0
@ob00212 09:58:10.3312 +02:04:04.881 -2.0
@ob02985 09:58:10.4646 +02:04:08.881 -2.0
@ob00213 09:58:48.4753 +02:15:55.875 -2.0
@ob02986 09:58:48.6087 +02:15:59.875 -2.0
@ob00214 09:58:47.4455 +02:15:37.851 -2.0
@ob02987 09:58:47.5790 +02:15:41.851 -2.0
@ob00215 09:58:56.7911 +02:15:46.579 -2.0
@ob02988 09:58:56.9245 +02:15:50.579 -2.0
@ob00216 09:58:53.0944 +02:16:23.808 -2.0
@ob02989 09:58:53.2278 +02:16:27.808 -2.0
@ob00217 09:58:19.9284 +02:06:03.536 -2.0
@ob02990 09:58:20.0618 +02:06:07.536 -2.0
@ob00218 09:58:55.0963 +02:11:55.378 -2.0
@ob02991 09:58:55.2298 +02:11:59.378 -2.0
@ob00219 09:58:20.5307 +02:25:56.802 -2.0
@ob02992 09:58:20.6642 +02:26:00.802 -2.0
@ob00220 09:58:28.7704 +02:03:22.709 -2.0
@ob02993 09:58:28.9038 +02:03:26.709 -2.0
@ob00221 09:58:20.1164 +02:07:49.746 -2.0
@ob02994 09:58:20.2498 +02:07:53.746 -2.0
@ob00222 09:58:26.1768 +02:10:53.962 -2.0
@ob02995 09:58:26.3102 +02:10:57.962 -2.0
@ob00223 09:58:40.3021 +02:24:25.470 -2.0
@ob02996 09:58:40.4356 +02:24:29.470 -2.0
@ob00224 09:58:31.6679 +02:08:19.742 -2.0
@ob02997 09:58:31.8013 +02:08:23.742 -2.0
@ob00225 09:58:21.8951 +02:03:08.584 -2.0
@ob02998 09:58:22.0286 +02:03:12.584 -2.0
@ob00226 09:58:34.1215 +02:12:26.961 -2.0
@ob02999 09:58:34.2549 +02:12:30.961 -2.0
@ob00227 09:58:57.9370 +02:13:59.937 -2.0
@ob03000 09:58:58.0704 +02:14:03.937 -2.0
@ob00228 09:57:53.4365 +02:14:06.953 -2.0
@ob03001 09:57:53.5699 +02:14:10.953 -2.0
@ob00229 09:58:35.4169 +02:25:29.174 -2.0
@ob03002 09:58:35.5503 +02:25:33.174 -2.0
@ob00230 09:58:26.0566 +02:19:42.253 -2.0
@ob03003 09:58:26.1900 +02:19:46.253 -2.0
@ob00231 09:58:17.3225 +02:14:50.243 -2.0
@ob03004 09:58:17.4559 +02:14:54.243 -2.0
@ob00232 09:58:45.2639 +02:10:01.824 -2.0
@ob03005 09:58:45.3974 +02:10:05.824 -2.0
@ob00233 09:58:43.5949 +02:24:44.912 -2.0
